project_short_title,milestone_title,task_title,task_description,task_type
Core Banking,Bewertung des aktuellen Systems,Systeminventar & Abhängigkeits-Mapping,Dokumentation aller Core-Banking-Systemkomponenten und Schnittstellen,Task
Core Banking,Bewertung des aktuellen Systems,Performance-Baseline-Analyse,Messung von Transaktionsdurchsatz und Antwortzeiten,Task
Core Banking,Bewertung des aktuellen Systems,Technische-Schulden-Assessment,Bewertung von Legacy-Codequalität und Wartungslast,Task
Core Banking,Bewertung des aktuellen Systems,Bewertungsbericht & Business Case,Dokumentation von Modernisierungsbegründung und Ansatz,Documentation
Core Banking,Architekturdesign & Planung,Zielarchitektur-Design,Design microservices-basierter Cloud-Native-Architektur,Task
Core Banking,Architekturdesign & Planung,API-Strategie-Definition,Definition von API-First-Strategie und Standards,Documentation
Core Banking,Architekturdesign & Planung,Technologie-Stack-Auswahl,Auswahl von Programmiersprachen, Datenbanken und Cloud-Plattform,Task
Core Banking,Architekturdesign & Planung,Nichtfunktionale Anforderungen,Definition von Skalierbarkeits-, Verfügbarkeits- und Leistungsanforderungen,Documentation
Core Banking,Datenmigrationsstrategie,Datenqualitäts-Assessment,Profiling von Datenqualität über Legacy-Systeme hinweg,Task
Core Banking,Datenmigrationsstrategie,Daten-Mapping & Transformationsregeln,Dokumentation von Quelle-zu-Ziel-Daten-Mapping und Transformationen,Documentation
Core Banking,Datenmigrationsstrategie,Migrationsansatz-Auswahl,Auswahl von Big-Bang- vs. phasiertem Migrationsansatz,Task
Core Banking,Datenmigrationsstrategie,Mock-Migrations-Testing,Durchführung mehrerer Mock-Migrationsläufe und Reconciliation,Task
Core Banking,Kontoverwaltungsmodul,Kundenkonto-Services,Entwicklung von Kontoeröffnungs-, Wartungs- und Schließungs-APIs,Feature
Core Banking,Kontoverwaltungsmodul,Produktkonfigurations-Engine,Aufbau flexibler Produkt- und Parameterkonfiguration,Feature
Core Banking,Kontoverwaltungsmodul,Kontohierarchie-Management,Implementierung mehrstufiger Kontobeziehungen,Task
Core Banking,Kontoverwaltungsmodul,Konto-Reconciliation,Entwicklung automatisierter Konto-Reconciliation-Prozesse,Task
Core Banking,Transaktionsverarbeitungs-Engine,Echtzeit-Transaktionsverarbeitung,Aufbau hochleistungsfähiger Transaktionsverarbeitungs-Engine,Task
Core Banking,Transaktionsverarbeitungs-Engine,Doppelte Buchführung,Implementierung doppelter Buchführung und GL-Buchung,Task
Core Banking,Transaktionsverarbeitungs-Engine,Transaktionsautorisierungs-Regeln,Entwicklung konfigurierbarer Transaktionsautorisierungs-Framework,Task
Core Banking,Transaktionsverarbeitungs-Engine,Transaktions-Rollback & Stornierung,Implementierung kompensierender Transaktionsmechanismen,Feature
Core Banking,Entwicklung der Integrationsschicht,Enterprise Service Bus,Implementierung ESB für Systemintegrations-Orchestrierung,Task
Core Banking,Entwicklung der Integrationsschicht,Zahlungsnetzwerk-Integration,Integration mit ACH-, Wire- und Kartenzahlungsnetzwerken,Task
Core Banking,Entwicklung der Integrationsschicht,Drittanbieter-Banking-Integration,Aufbau von Integrationen mit Kreditauskunfteien und externen Systemen,Task
Core Banking,Entwicklung der Integrationsschicht,Behebung Integration-Timeout-Probleme,Behebung von Timeout-Fehlern bei externen Service-Aufrufen,Bug
Core Banking,Validierung der regulatorischen Compliance,Compliance-Anforderungen-Analyse,Analyse regulatorischer Anforderungen über Jurisdiktionen hinweg,Task
Core Banking,Validierung der regulatorischen Compliance,AML-Transaktionsüberwachung,Implementierung von Anti-Geldwäsche-Überwachungsregeln,Feature
