project_short_title,milestone_title,task_title,task_description,task_type
Digital Transform,Ist-Zustandsbewertung,As-Is-Prozess-Mapping,Dokumentation aktueller Geschäftsprozesse und Workflows,Task
Digital Transform,Ist-Zustandsbewertung,Legacy-Systeminventar,Katalogisierung bestehender Technologiesysteme und Abhängigkeiten,Task
Digital Transform,Ist-Zustandsbewertung,Stakeholder-Interviewprogramm,Durchführung strukturierter Interviews mit Schlüsselstakeholdern,Task
Digital Transform,Ist-Zustandsbewertung,Ist-Zustandsbewertungsbericht,Zusammenstellung von Ergebnissen und Problemstellungsdokumentation,Documentation
Digital Transform,Bewertung der digitalen Reife,Anwendung digitales Reifegradmodell,Anwendung branchenüblicher digitaler Reifegradbeurteilung,Task
Digital Transform,Bewertung der digitalen Reife,Capability-Gap-Analyse,Identifizierung von Lücken zwischen aktuellem und Zielzustand,Task
Digital Transform,Bewertung der digitalen Reife,Benchmark-Wettbewerbsanalyse,Vergleich digitaler Fähigkeiten mit Branchenwettbewerbern,Task
Digital Transform,Bewertung der digitalen Reife,Reifegrad-Scorecard-Entwicklung,Erstellung digitaler Bereitschafts-Scorecard und Heatmaps,Documentation
Digital Transform,Entwicklung der strategischen Roadmap,Zukunftsvisions-Workshops,Durchführung von Visionsworkshops mit Führungsteam,Task
Digital Transform,Entwicklung der strategischen Roadmap,Business-Case-Entwicklung,Aufbau finanzieller Business Case mit ROI-Projektionen,Task
Digital Transform,Entwicklung der strategischen Roadmap,Initiativ-Priorisierungsmatrix,Priorisierung von Initiativen mittels Wert-Aufwand-Framework,Task
Digital Transform,Entwicklung der strategischen Roadmap,3-Jahres-Transformations-Roadmap,Entwicklung phasierter Implementierungs-Roadmap mit Meilensteinen,Documentation
Digital Transform,Technologie-Stack-Auswahl,Definition technischer Anforderungen,Definition funktionaler und nichtfunktionaler Anforderungen,Documentation
Digital Transform,Technologie-Stack-Auswahl,Anbieterbewertung & RFP,Durchführung von RFP-Prozess und Anbieterfähigkeitsbewertung,Task
Digital Transform,Technologie-Stack-Auswahl,Proof-of-Concept-Testen,Durchführung von POCs für ausgewählte Technologielösungen,Task
Digital Transform,Technologie-Stack-Auswahl,Technologieauswahl-Empfehlung,Dokumentation von Technologieauswahlbegründung und Entscheidung,Documentation
Digital Transform,Pilotprojekt-Implementierung,Pilotumfang & Erfolgskriterien,Definition von Pilotumfang und messbaren Erfolgskennzahlen,Task
Digital Transform,Pilotprojekt-Implementierung,Agile-Team-Bildung,Zusammenstellung funktionsübergreifender Pilot-Implementierungsteams,Task
