project_short_title,milestone_title,task_title,task_description,task_type
Smart Grid,Bewertung der Netzinfrastruktur,Netzwerktopologie-Analyse,Kartierung bestehender Netztopologie und Umspannwerksstandorte,Task
Smart Grid,Bewertung der Netzinfrastruktur,Lastflussstudie,Durchführung von Energieflussanalyse und Kapazitätsbewertung,Task
Smart Grid,Bewertung der Netzinfrastruktur,Asset-Zustandsbewertung,Bewertung von Alter und Zustand der Netzanlagen,Task
Smart Grid,Bewertung der Netzinfrastruktur,Infrastrukturbewertungsbericht,Dokumentation aktueller Zustandsbefunde und Empfehlungen,Documentation
Smart Grid,Smart-Meter-Beschaffung,Technische Spezifikationsentwicklung,Definition funktionaler und technischer AMI-Zähler-Anforderungen,Documentation
Smart Grid,Smart-Meter-Beschaffung,Anbieter-RFP-Prozess,Ausgabe RFP und Bewertung von Smart-Meter-Anbieterangeboten,Task
Smart Grid,Smart-Meter-Beschaffung,Zählertyp-Testen,Durchführung von Labor- und Feldtests für Kandidatenzähler,Task
Smart Grid,Smart-Meter-Beschaffung,Beschaffungsvertragsvergabe,Verhandlung und Vergabe von Smart-Meter-Liefervertrag,Task
Smart Grid,Kommunikationsnetzwerkdesign,Kommunikationstechnologie-Auswahl,Auswahl von Mesh-RF-, Mobilfunk- oder PLC-Kommunikationstechnologie,Task
Smart Grid,Kommunikationsnetzwerkdesign,Netzwerkabdeckungsplanung,Design von Kommunikationsnetzwerk-Abdeckung und Backhaul,Task
Smart Grid,Kommunikationsnetzwerkdesign,Cybersicherheits-Architektur,Design von Sicherheitskontrollen für AMI-Netzwerk,Task
Smart Grid,Kommunikationsnetzwerkdesign,Netzwerkdesign-Dokumentation,Erstellung von Kommunikationsnetzwerk-Designspezifikationen,Documentation
Smart Grid,Datenmanagementsplattform,MDMS-Plattformauswahl,Auswahl und Beschaffung von Meter-Data-Management-System,Task
Smart Grid,Datenmanagementsplattform,Datenarchitektur-Design,Design von Data Warehouse und Analytics-Architektur,Task
Smart Grid,Datenmanagementsplattform,Integrationsarchitektur,Design der Integration mit Abrechnungs- und OMS-Systemen,Task
Smart Grid,Datenmanagementsplattform,Plattforminstallation & Konfiguration,Installation und Konfiguration von MDMS-Software-Plattform,Task
Smart Grid,Erweiterte Analytik & Prognose,Historische Datenvorbereitung,Vorbereitung von Trainingsdatensätzen aus historischem Verbrauch,Task
Smart Grid,Erweiterte Analytik & Prognose,Lastprognosemodelle,Entwicklung von Machine-Learning-Lastprognosemodellen,Feature
Smart Grid,Erweiterte Analytik & Prognose,Anomalieerkennung-Algorithmen,Implementierung von Verbrauchs-Anomalie- und Diebstahlerkennung,Feature
Smart Grid,Erweiterte Analytik & Prognose,Demand-Response-Optimierung,Aufbau von DR-Event-Optimierungsalgorithmen,Task
Smart Grid,Zählereinführung Phase 1,Zähleraustausch-Logistik,Planung von Zähleraustausch-Logistik und Personalplanung,Task
Smart Grid,Zählereinführung Phase 1,Feldbrigaden-Training,Training von Installationsbrigaden zu Zählerinstallationsverfahren,Task
Smart Grid,Zählereinführung Phase 1,Wohnzähler-Installation,Installation von Smart Metern in Wohngebäuden,Task
Smart Grid,Zählereinführung Phase 1,Zählerinbetriebnahme & Testen,Inbetriebnahme von Zählern und Verifizierung der Kommunikationskonnektivität,Task
Smart Grid,Kundenportal-Launch,Kundenportal-Entwicklung,Entwicklung von Web- und mobilen Kundenengagement-Portal,Feature
Smart Grid,Kundenportal-Launch,Echtzeit-Verbrauchsanzeige,Implementierung nahezu-Echtzeit-Energieverbrauch-Visualisierung,Feature
Smart Grid,Kundenportal-Launch,Tarifvergleich-Tools,Aufbau von Tarifplan-Vergleichs- und Empfehlungstools,Task
Smart Grid,Kundenportal-Launch,Kundenkommunikations-Kampagne,Start von Kunden-Awareness- und Bildungskampagne,Task
Smart Grid,Vollständige Netzwerkintegration,Ausfallmanagement-Integration,Integration von AMI mit Ausfallmanagementsystem,Task
Smart Grid,Vollständige Netzwerkintegration,Verteilungsautomatisierung,Implementierung automatisierter Schaltung und Fehlerortung,Feature
Smart Grid,Vollständige Netzwerkintegration,Spannungsoptimierung,Bereitstellung von Conservation-Voltage-Reduction-Steuerungen,Task
