id,name,name_en,name_de
250,Afghanistan,Afghanistan,Afghanistan
251,Aland-Inseln,Aland Islands,Åland
252,Albanien,Albania,Albanien
253,Algerien,Algeria,Algerien
254,Amerikanisch-Samoa,American Samoa,Amerikanisch-Samoa
255,Andorra,Andorra,Andorra
256,Angola,Angola,Angola
257,Anguilla,Anguilla,Anguilla
258,Antarktis,Antarctica,Antarktika
259,Antigua und Barbuda,Antigua And Barbuda,Antigua und Barbuda
260,Argentinien,Argentina,Argentinien
261,Armenien,Armenia,Armenien
262,Aruba,Aruba,Aruba
263,Australien,Australia,Australien
264,Österreich,Austria,Österreich
265,Aserbaidschan,Azerbaijan,Aserbaidschan
266,Bahrain,Bahrain,Bahrain
267,Bangladesch,Bangladesh,Bangladesch
268,Barbados,Barbados,Barbados
269,Weißrussland,Belarus,Weißrussland
270,Belgien,Belgium,Belgien
271,Belize,Belize,Belize
272,Benin,Benin,Benin
273,Bermuda,Bermuda,Bermuda
274,Bhutan,Bhutan,Bhutan
275,Bolivien,Bolivia,Bolivien
276,Bonaire, Sint Eustatius und Saba,Bonaire, Sint Eustatius and Saba,Bonaire, Sint Eustatius und Saba
277,Bosnien und Herzegowina,Bosnia and Herzegovina,Bosnien und Herzegowina
278,Botswana,Botswana,Botswana
279,Bouvetinsel,Bouvet Island,Bouvetinsel
280,Brasilien,Brazil,Brasilien
281,Britisches Territorium im Indischen Ozean,British Indian Ocean Territory,Britisches Territorium im Indischen Ozean
282,Brunei,Brunei,Brunei
283,Bulgarien,Bulgaria,Bulgarien
284,Burkina Faso,Burkina Faso,Burkina Faso
285,Burundi,Burundi,Burundi
286,Kambodscha,Cambodia,Kambodscha
287,Kamerun,Cameroon,Kamerun
288,Kanada,Canada,Kanada
289,Kap Verde,Cape Verde,Kap Verde
290,Cayman-Inseln,Cayman Islands,Kaimaninseln
291,Zentralafrikanische Republik,Central African Republic,Zentralafrikanische Republik
292,Tschad,Chad,Tschad
293,Chile,Chile,Chile
294,China,China,China
295,Weihnachtsinsel,Christmas Island,Weihnachtsinsel
296,Kokosinseln (Keeling),Cocos (Keeling) Islands,Kokosinseln
297,Kolumbien,Colombia,Kolumbien
298,Komoren,Comoros,Union der Komoren
299,Kongo,Congo,Kongo
300,Cookinseln,Cook Islands,Cookinseln
301,Costa Rica,Costa Rica,Costa Rica
302,Côte d'Ivoire (Elfenbeinküste),Cote D'Ivoire (Ivory Coast),Elfenbeinküste
303,Kroatien,Croatia,Kroatien
304,Kuba,Cuba,Kuba
305,Curaçao,Curaçao,Curaçao
306,Zypern,Cyprus,Zypern
307,Tschechische Republik,Czech Republic,Tschechische Republik
308,Demokratische Republik Kongo,Democratic Republic of the Congo,Kongo (Dem. Rep.)
309,Dänemark,Denmark,Dänemark
310,Dschibuti,Djibouti,Dschibuti
311,Dominica,Dominica,Dominica
312,Dominikanische Republik,Dominican Republic,Dominikanische Republik
313,Osttimor,East Timor,Timor-Leste
314,Ecuador,Ecuador,Ecuador
315,Ägypten,Egypt,Ägypten
316,El Salvador,El Salvador,El Salvador
317,Äquatorialguinea,Equatorial Guinea,Äquatorial-Guinea
318,Eritrea,Eritrea,Eritrea
319,Estland,Estonia,Estland
320,Äthiopien,Ethiopia,Äthiopien
321,Falkland-Inseln,Falkland Islands,Falklandinseln
322,Färöer-Inseln,Faroe Islands,Färöer-Inseln
323,Fidschi-Inseln,Fiji Islands,Fidschi
324,Finnland,Finland,Finnland
325,Frankreich,France,Frankreich
326,Französisch-Guayana,French Guiana,Französisch Guyana
327,Französisch-Polynesien,French Polynesia,Französisch-Polynesien
328,Französische Südterritorien,French Southern Territories,Französische Süd- und Antarktisgebiete
329,Gabun,Gabon,Gabun
330,Gambia,Gambia The,Gambia
331,Georgien,Georgia,Georgien
332,Deutschland,Germany,Deutschland
333,Ghana,Ghana,Ghana
334,Gibraltar,Gibraltar,Gibraltar
335,Griechenland,Greece,Griechenland
336,Grönland,Greenland,Grönland
337,Grenada,Grenada,Grenada
338,Guadeloupe,Guadeloupe,Guadeloupe
339,Guam,Guam,Guam
340,Guatemala,Guatemala,Guatemala
341,Guernsey und Alderney,Guernsey and Alderney,Guernsey
342,Guinea,Guinea,Guinea
343,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
344,Guyana,Guyana,Guyana
345,Haiti,Haiti,Haiti
346,Heard-Insel und McDonald-Inseln,Heard Island and McDonald Islands,Heard und die McDonaldinseln
347,Honduras,Honduras,Honduras
348,Hongkong S.A.R.,Hong Kong S.A.R.,Hong Kong
349,Ungarn,Hungary,Ungarn
350,Island,Iceland,Island
351,Indien,India,Indien
352,Indonesien,Indonesia,Indonesien
353,Iran,Iran,Iran
354,Irak,Iraq,Irak
355,Irland,Ireland,Irland
356,Israel,Israel,Israel
357,Italien,Italy,Italien
358,Jamaika,Jamaica,Jamaika
359,Japan,Japan,Japan
360,Jersey,Jersey,Jersey
361,Jordanien,Jordan,Jordanien
362,Kasachstan,Kazakhstan,Kasachstan
363,Kenia,Kenya,Kenia
364,Kiribati,Kiribati,Kiribati
365,Kosovo,Kosovo,Kosovo
366,Kuwait,Kuwait,Kuwait
367,Kirgisistan,Kyrgyzstan,Kirgisistan
368,Laos,Laos,Laos
369,Lettland,Latvia,Lettland
370,Libanon,Lebanon,Libanon
371,Lesotho,Lesotho,Lesotho
372,Liberia,Liberia,Liberia
373,Libyen,Libya,Libyen
374,Liechtenstein,Liechtenstein,Liechtenstein
