project_short_title,milestone_title,task_title,task_description,task_type
Digital Govt,Dienstleistungsinventar & Priorisierung,Dienstleistungskatalog-Erstellung,Inventarisierung aller Behördendienstleistungen über Abteilungen hinweg,Task
Digital Govt,Dienstleistungsinventar & Priorisierung,Bewertung der digitalen Bereitschaft,Bewertung der Digitalisierungsmöglichkeiten für jede Dienstleistung,Task
Digital Govt,Dienstleistungsinventar & Priorisierung,Bürgerbedarfsanalyse,Analyse der Nutzungsvolumen und Bürgernachfrage für Dienstleistungen,Task
Digital Govt,Dienstleistungsinventar & Priorisierung,Priorisierungs-Framework,Priorisierung von Dienstleistungen mittels Impact-Effort-Matrix,Documentation
Digital Govt,Nutzerforschung & Journey Mapping,Entwicklung von Bürger-Personas,Entwicklung von Personas für verschiedene Bürgersegmente,Task
Digital Govt,Nutzerforschung & Journey Mapping,Journey-Mapping-Workshops,Durchführung von Service-Journey-Mapping mit Stakeholdern,Task
Digital Govt,Nutzerforschung & Journey Mapping,Pain-Point-Analyse,Identifizierung von Reibungspunkten und Verbesserungsmöglichkeiten,Task
Digital Govt,Nutzerforschung & Journey Mapping,Journey-Maps-Dokumentation,Erstellung visueller Journey-Maps für prioritäre Dienstleistungen,Documentation
Digital Govt,Digitale Identitäts-Framework,Identitätssicherheitsstufen,Definition von Identitätssicherheitsstufen und Authentifizierungsmethoden,Documentation
Digital Govt,Digitale Identitäts-Framework,Auswahl des Identitätsanbieters,Auswahl einer föderierten Identitätsanbieterlösung,Task
Digital Govt,Digitale Identitäts-Framework,eID-Integration,Integration mit nationaler elektronischer ID-Infrastruktur,Task
Digital Govt,Digitale Identitäts-Framework,Datenschutz-Folgenabschätzung,Durchführung der Datenschutz-Folgenabschätzung für Identitätssystem,Documentation
Digital Govt,Kernplattformentwicklung,Plattform-Architekturdesign,Design einer Microservices-basierten Plattform für digitale Dienstleistungen,Task
Digital Govt,Kernplattformentwicklung,Entwicklung gemeinsamer Komponenten,Entwicklung gemeinsamer Komponenten für Formulare, Zahlungen und Benachrichtigungen,Task
Digital Govt,Kernplattformentwicklung,API-Gateway-Implementierung,Implementierung eines API-Gateways für Dienstleistungsintegration,Task
