project_short_title,milestone_title
Digital Govt,Dienstleistungsinventar & Priorisierung
Digital Govt,Nutzerforschung & Journey Mapping
Digital Govt,Digitale Identitäts-Framework
Digital Govt,Kernplattformentwicklung
Digital Govt,Dienstleistungsmigration Phase 1
Digital Govt,Mobile-App-Launch
Digital Govt,Barrierefreiheits-Compliance
Digital Govt,Vollständiger Dienstleistungskatalog
Tax System,Anforderungsanalyse
Tax System,Digitalisierung des Steuerrechts
Tax System,Steuerzahlerportal-Design
Tax System,E-Filing-Systementwicklung
Tax System,Zahlungsgateway-Integration
Tax System,Prüfungs- & Compliance-Modul
Tax System,Datenanalyse & Betrugserkennung
Tax System,Pilottests & Rollout
Smart City,IoT-Infrastrukturplanung
Smart City,Verkehrsmanagementsystem
Smart City,Umweltüberwachung
Smart City,Integration öffentlicher Verkehrsmittel
Smart City,Bürgerengagement-App
Smart City,Energiemanagement
Smart City,Abfallmanagement-Optimierung
Smart City,Integration öffentlicher Sicherheit
Emergency Sys,Bewertung des aktuellen Systems
Emergency Sys,Einheitliche Kommunikationsplattform
Emergency Sys,Entsendungsoptimierung
Emergency Sys,Ressourcenmanagement
Emergency Sys,Multi-Agency-Koordination
Emergency Sys,Mobile Kommandozentrale
Emergency Sys,Training & Simulation
Emergency Sys,Live-Einführung
Public Health,Krankheitsüberwachungssystem
Public Health,Laborinformationssystem
Public Health,Ausbruchserkennungsalgorithmen
Public Health,Kontaktverfolgungsplattform
Public Health,Impfmanagement
Public Health,Gesundheitsdaten-Warehouse
Public Health,Öffentliches Dashboard
Public Health,Internationale Berichterstattung
E-Voting,Sicherheitsarchitektur-Design
E-Voting,Blockchain-Fundament
E-Voting,Wählerauthentifizierungssystem
E-Voting,Stimmzetteldesign & Schnittstelle
E-Voting,Stimmenverschlüsselung & Speicherung
E-Voting,Audit-Trail & Verifizierung
E-Voting,Pilotwahl
E-Voting,Zertifizierung & Genehmigung
Border Ctrl,Biometrische Systemauswahl
Border Ctrl,Datenbankinfrastruktur
Border Ctrl,Gesichtserkennungsintegration
Border Ctrl,Automatisierte Grenztore
Border Ctrl,Risikobewertungs-Engine
Border Ctrl,Mobile Inspektionseinheiten
Border Ctrl,Schulungsprogramm
Border Ctrl,Flughafen-Einführung
Open Data,Datenkatalog-Entwicklung
Open Data,API-Framework
Open Data,Datenqualitätsbewertung
Open Data,Anonymisierung & Datenschutz
Open Data,Visualisierungstools
Open Data,Entwickler-Community
Open Data,Öffentliche Startkampagne
