project_short_title,milestone_title
Smart Grid,Bewertung der Netzinfrastruktur
Smart Grid,Smart-Meter-Beschaffung
Smart Grid,Kommunikationsnetzwerkdesign
Smart Grid,Datenmanagementsplattform
Smart Grid,Erweiterte Analytik & Prognose
Smart Grid,Zählereinführung Phase 1
Smart Grid,Kundenportal-Launch
Smart Grid,Vollständige Netzwerkintegration
Wind Farm,Umweltverträglichkeitsprüfung
Wind Farm,Standortauswahl & Genehmigungen
Wind Farm,Turbinenbeschaffung
Wind Farm,Fundamenttechnik
Wind Farm,Installation & Inbetriebnahme
Wind Farm,Netzanschluss
Wind Farm,Leistungsoptimierung
Solar Park,Grundstückserwerb & Genehmigung
Solar Park,Solarpanel-Beschaffung
Solar Park,Wechselrichter- & BOS-Design
Solar Park,Bau & Installation
Solar Park,Batteriespeicherintegration
Solar Park,Netzanschluss
Solar Park,Inbetriebnahme & Testen
Grid Battery,Technologieauswahl
Grid Battery,Standortvorbereitung
Grid Battery,Batterieinstallation
Grid Battery,Leistungswandlungssystem
Grid Battery,Steuerungs- & Überwachungssystem
Grid Battery,Sicherheit & Brandschutz
Grid Battery,Leistungstests
Demand Response,Kundensegmentierung
Demand Response,Preismodelldesign
Demand Response,IoT-Device-Integration
Demand Response,Machine-Learning-Modelle
Demand Response,Kunden-App-Entwicklung
Demand Response,Pilotprogramm
Demand Response,Incentive-Management
Demand Response,Vollständiger Marktstart
Carbon Track,Bewertung der Emissionsbasislinie
Carbon Track,Datenerfassungs-Framework
Carbon Track,Berechnungsmethodik
Carbon Track,Berichts-Dashboard
Carbon Track,Drittanbieter-Verifizierung
Carbon Track,Regulatorische Compliance
Carbon Track,Offset-Management
Nuclear Mod,Sicherheitssystem-Audit
Nuclear Mod,Regulatorischer Genehmigungsprozess
Nuclear Mod,Kontrollraum-Upgrade
Nuclear Mod,Reaktorinstrumentierung
Nuclear Mod,Notfallsystem-Verbesserung
Nuclear Mod,Mitarbeiterschulung & Zertifizierung
Nuclear Mod,Testen & Validierung
Nuclear Mod,Operative Übergabe
EV Charging,Netzwerkplanung & Standortauswahl
EV Charging,Ladegerätebeschaffung
EV Charging,Elektrische Infrastruktur
EV Charging,Installation & Inbetriebnahme
EV Charging,Zahlungssystemintegration
EV Charging,Mobile-App-Entwicklung
EV Charging,Marketing & Launch
