project_short_title,milestone_title
Digital Transform,Current State Assessment
Digital Transform,Digital Maturity Evaluation
Digital Transform,Strategic Roadmap Development
Digital Transform,Technology Stack Selection
Digital Transform,Pilot Project Implementation
Digital Transform,Process Reengineering
Digital Transform,Employee Training Program
Digital Transform,Full-Scale Rollout
Change Mgmt,Stakeholder Analysis
Change Mgmt,Communication Strategy
Change Mgmt,Cultural Assessment
Change Mgmt,Leadership Alignment
Change Mgmt,Change Champion Network
Change Mgmt,Training & Development
Change Mgmt,Integration Planning
Change Mgmt,Post-Merger Evaluation
HR Analytics,Requirements Gathering
HR Analytics,Data Source Integration
HR Analytics,Predictive Model Development
HR Analytics,Attrition Risk Analysis
HR Analytics,Skills Gap Assessment
HR Analytics,Succession Planning Tools
HR Analytics,Dashboard Development
HR Analytics,HR Team Training
Customer XP,Customer Journey Mapping
Customer XP,Voice of Customer Program
Customer XP,Touchpoint Analysis
Customer XP,Service Design Workshops
Customer XP,Process Optimization
Customer XP,Technology Enablement
Customer XP,Metrics & KPI Framework
Customer XP,Continuous Improvement Setup
Agile Scale,Agile Maturity Assessment
Agile Scale,Framework Selection
Agile Scale,Pilot Team Setup
Agile Scale,Coaching & Mentoring
Agile Scale,Tools & Infrastructure
Agile Scale,Community of Practice
Agile Scale,Scaling to Enterprise
Agile Scale,Success Metrics Review
Cloud Strategy,Cloud Readiness Assessment
Cloud Strategy,Cost-Benefit Analysis
Cloud Strategy,Multi-Cloud Architecture
Cloud Strategy,Migration Prioritization
Cloud Strategy,Security & Compliance Review
Cloud Strategy,Migration Wave 1
Cloud Strategy,Optimization & FinOps
Cloud Strategy,Governance Framework
Cyber Risk,Asset Inventory & Classification
Cyber Risk,Vulnerability Assessment
Cyber Risk,Penetration Testing
Cyber Risk,Risk Quantification
Cyber Risk,Remediation Roadmap
Cyber Risk,Security Controls Implementation
Cyber Risk,Incident Response Planning
Cyber Risk,Compliance Validation
Data Governance,Data Landscape Assessment
Data Governance,Governance Framework Design
Data Governance,Data Quality Rules
Data Governance,Master Data Management
Data Governance,Metadata Management
Data Governance,Data Catalog Implementation
Data Governance,Stewardship Training
Data Governance,Monitoring & Reporting
