type_id,short_title,title,started_at,finished_at
29,High Speed Rail,High-Speed Railway Network Construction and Management System,2024-01-01,2027-12-31
29,Smart Building,Smart Building Management and Automation System,2024-02-01,2026-11-30
29,Bridge Infra,Multi-Span Suspension Bridge Infrastructure Project Management,2024-01-15,2026-06-30
29,Airport Expand,International Airport Terminal Expansion and Modernization,2024-03-01,2026-09-30
29,Metro System,Underground Metro System Extension and Integration,2024-04-01,2027-03-31
29,BIM Platform,Building Information Modeling and Digital Twin Platform,2024-02-15,2026-10-31
29,Tunnel Project,Alpine Tunnel Engineering and Construction Management,2024-03-10,2026-12-31
29,Modular Housing,Prefabricated Modular Housing Development System,2024-01-20,2026-08-31
46,Innovation R&D,Research and Development of Innovative Solutions,2024-01-15,2026-12-31
46,Process Optimization,Process Optimization and Efficiency Improvement,2024-02-01,2026-11-30
46,Technology Platform,Development of Advanced Technology Platform,2024-03-01,2026-10-31
46,Digital Transformation,Digital Transformation and Modernization Initiative,2024-01-20,2026-09-30
171,Advanced Analytics,Advanced Analytics and Machine Learning Platform,2024-01-10,2026-12-31
171,Cloud Solutions,Cloud-Based Solutions and Infrastructure Development,2024-02-15,2026-11-30
171,AI Integration,Artificial Intelligence Integration and Deployment,2024-03-05,2026-10-31
171,Data Platform,Enterprise Data Platform and Analytics System,2024-01-25,2026-09-30
119,Innovation Project,Innovative Research and Development Initiative,2024-01-15,2026-12-31
119,Technology Development,Advanced Technology Development Program,2024-02-01,2026-11-30
119,Process Innovation,Process Innovation and Optimization Project,2024-03-01,2026-10-31
119,Digital Solutions,Digital Solutions Development and Implementation,2024-01-20,2026-09-30
120,R&D Innovation,Research and Development Innovation Project,2024-01-10,2026-12-31
120,Technical Advancement,Technical Advancement and Capability Development,2024-02-15,2026-11-30
120,Product Development,New Product Development and Enhancement,2024-03-05,2026-10-31
120,Engineering Excellence,Engineering Excellence and Innovation Initiative,2024-01-25,2026-09-30
