project_short_title,milestone_title,task_title,task_description,task_type
EHR Platform,Bewertung der regulatorischen Compliance,HIPAA-Compliance-Review,Bewertung der HIPAA Privacy- und Security-Rule-Anforderungen,Task
EHR Platform,Bewertung der regulatorischen Compliance,Meaningful-Use-Analyse,Analyse der CMS Meaningful Use-Zertifizierungskriterien,Task
EHR Platform,Bewertung der regulatorischen Compliance,Staatliche regulatorische Anforderungen,Überprüfung bundesstaatsspezifischer Gesundheitsinformationsaustauschlgesetze,Task
EHR Platform,Bewertung der regulatorischen Compliance,Compliance-Gap-Analyse,Dokumentation von Compliance-Lücken und Sanierungsplan,Documentation
EHR Platform,Datenmodelldesign & Standardausrichtung,Klinisches Datenmodelldesign,Design normalisiertes klinisches Datenmodell,Task
EHR Platform,Datenmodelldesign & Standardausrichtung,HL7 FHIR-Implementierung,Implementierung von HL7 FHIR-Ressourcendefinitionen,Task
EHR Platform,Datenmodelldesign & Standardausrichtung,Terminologie-Integration,Integration von SNOMED CT, LOINC und RxNorm-Terminologien,Task
EHR Platform,Datenmodelldesign & Standardausrichtung,Datenwörterbuch-Dokumentation,Dokumentation umfassendes Datenwörterbuch,Documentation
EHR Platform,Kernplattformentwicklung,Patientenverwaltungsmodul,Entwicklung von Patientenregistrierung und Demografieverwaltung,Task
EHR Platform,Kernplattformentwicklung,Klinische Dokumentation,Aufbau klinischer Notizenerfassung mit Vorlagen,Feature
EHR Platform,Kernplattformentwicklung,Auftragserfassung & Ergebnisse,Implementierung computergestütztes Arztauftragseingabesystem,Feature
EHR Platform,Kernplattformentwicklung,Medikamentenmanagement,Entwicklung von E-Verschreibung und Medikamentenverabreichungsprotokoll,Feature
EHR Platform,Integration klinischer Arbeitsabläufe,Kliniker-Workflow-Analyse,Analyse aktueller klinischer Arbeitsabläufe und Pain Points,Task
EHR Platform,Integration klinischer Arbeitsabläufe,Workflow-Engine-Entwicklung,Aufbau konfigurierbarer klinischer Workflow-Engine,Task
EHR Platform,Integration klinischer Arbeitsabläufe,Aufgabenverwaltung & Warnungen,Implementierung klinischer Aufgabenlisten und Warnungsbenachrichtigungen,Feature
EHR Platform,Integration klinischer Arbeitsabläufe,Mobiler klinischer Zugriff,Entwicklung mobiler Anwendung für Klinikerzugriff,Feature
EHR Platform,Interoperabilitätstests,HL7-Schnittstellenentwicklung,Entwicklung von HL7 v2-Schnittstellen für Legacy-Systemintegration,Task
EHR Platform,Interoperabilitätstests,Direct Secure Messaging,Implementierung Direct-Protokoll für sicheren Gesundheitsinformationsaustausch,Task
EHR Platform,Interoperabilitätstests,Gesundheitsinformationsaustausch,Verbindung zum regionalen Gesundheitsinformationsaustausch,Task
EHR Platform,Interoperabilitätstests,Interoperabilitätsvalidierung,Durchführung von Integrating the Healthcare Enterprise-Tests,Task
EHR Platform,Sicherheits- & Datenschutzaudit,Sicherheitsarchitektur-Review,Überprüfung von Sicherheitskontrollen und Architektur,Task
EHR Platform,Sicherheits- & Datenschutzaudit,Penetrationstests,Durchführung von Anwendungs- und Infrastruktur-Penetrationstests,Task
EHR Platform,Sicherheits- & Datenschutzaudit,Audit-Log-Review,Validierung umfassender Audit-Protokollierung von Zugriffen,Task
EHR Platform,Sicherheits- & Datenschutzaudit,Drittanbieter-Sicherheitsbewertung,Erlangung der HITRUST CSF-Zertifizierung,Documentation
EHR Platform,Pilot-Krankenhauseinführung,Pilotstandort-Auswahl,Auswahl von Pilot-Krankenhauseinheit oder Klinik,Task
EHR Platform,Pilot-Krankenhauseinführung,Datenmigration,Migration von Patientenakten aus Legacy-System,Task
EHR Platform,Pilot-Krankenhauseinführung,Mitarbeiterschulung,Schulung klinisches und administratives Personal,Task
EHR Platform,Pilot-Krankenhauseinführung,Go-Live-Support,Bereitstellung intensiver Vor-Ort-Go-Live-Unterstützung,Task
