project_short_title,milestone_title,task_title,task_description,task_type
High Speed Rail,Machbarkeitsstudie & Streckenplanung,Korridorausrichtungsanalyse,Analyse mehrerer Streckenkorridore für optimale Ausrichtung,Task
High Speed Rail,Machbarkeitsstudie & Streckenplanung,Fahrgastaufkommensmodellierung,Entwicklung von Fahrgastprognosen und Umsatzprojektionen,Task
High Speed Rail,Machbarkeitsstudie & Streckenplanung,Kosten-Nutzen-Analysebericht,Erstellung eines umfassenden wirtschaftlichen Machbarkeitsberichts,Documentation
High Speed Rail,Machbarkeitsstudie & Streckenplanung,Stakeholder-Konsultationstreffen,Durchführung öffentlicher Anhörungen und Stakeholder-Engagement-Sitzungen,Task
High Speed Rail,Umweltverträglichkeitsprüfung,Ökologische Basiserhebung,Dokumentation vorhandener Flora und Fauna entlang der geplanten Strecke,Task
High Speed Rail,Umweltverträglichkeitsprüfung,Lärm- & Vibrations-Auswirkungsstudie,Bewertung potenzieller Lärmauswirkungen auf Wohngebiete,Task
High Speed Rail,Umweltverträglichkeitsprüfung,Design von Minderungsmaßnahmen,Entwicklung von Umweltschutz- und Minderungsstrategien,Task
High Speed Rail,Umweltverträglichkeitsprüfung,UVP-Berichtseinreichung,Einreichung der Umweltverträglichkeitsprüfung bei Regulierungsbehörden,Documentation
High Speed Rail,Grundstückserwerb & Genehmigungen,Immobilienbewertung & Vermessung,Durchführung katastermäßiger Vermessungen und Immobilienbewertungen,Task
High Speed Rail,Grundstückserwerb & Genehmigungen,Verhandlungen mit Grundstückseigentümern,Verhandlung von Entschädigungsvereinbarungen mit Grundstückseigentümern,Task
High Speed Rail,Grundstückserwerb & Genehmigungen,Eisenbahnbaugenehmigungen,Einholung der Eisenbahnbaugenehmigung vom Verkehrsministerium,Task
High Speed Rail,Grundstückserwerb & Genehmigungen,Wegerecht-Dokumentation,Erstellung und Einreichung rechtlicher Wegerecht-Dokumentation,Documentation
High Speed Rail,Geotechnische Untersuchung,Bohrprogramm,Durchführung von Tiefbohrungen in 500m-Intervallen,Task
High Speed Rail,Geotechnische Untersuchung,Bodentragfähigkeitstests,Durchführung von Labortests an Bodenproben,Task
High Speed Rail,Geotechnische Untersuchung,Bewertung der Bodenstabilität,Bewertung von Hangstabilität und seismischen Überlegungen,Task
High Speed Rail,Geotechnische Untersuchung,Erstellung geotechnischer Bericht,Zusammenstellung von Fundamentdesign-Empfehlungsberichten,Documentation
High Speed Rail,Streckendesign & Engineering,Geometrische Designstandards,Anwendung geometrischer Hochgeschwindigkeitsbahn-Designkriterien,Task
High Speed Rail,Streckendesign & Engineering,Krümmungs- & Überhöhungsberechnungen,Berechnung optimaler Gleiskrümmung und Querneigungswinkel,Task
High Speed Rail,Streckendesign & Engineering,Gleisplattendesign,Design eines durchgehend geschweißten Schienensystems,Task
High Speed Rail,Streckendesign & Engineering,Engineering-Zeichnungspaket,Erstellung von Bauzeichnungen und technischen Spezifikationen,Documentation
High Speed Rail,Fundament & Erdarbeiten,Standorträumung & Rodung,Räumung der Vegetation und Vorbereitung des Baukorridors,Task
High Speed Rail,Fundament & Erdarbeiten,Aushub- & Aufschüttungsarbeiten,Durchführung von Massenerdbewegungen für Böschungen,Task
High Speed Rail,Fundament & Erdarbeiten,Verdichtungsqualitätskontrolle,Durchführung von Dichtetests und Verdichtungsverifizierung,Task
High Speed Rail,Fundament & Erdarbeiten,Entwässerungssysteminstallation,Installation von Durchlässen und unterirdischen Entwässerungssystemen,Task
High Speed Rail,Gleisverlegung & Schotterbettung,Schotterschichtvorbereitung,Installation und Verdichtung der Steinschotterfundamentschicht,Task
High Speed Rail,Gleisverlegung & Schotterbettung,Schienenpaneelinstallation,Installation durchgehend geschweißter Schienenpaneele,Task
High Speed Rail,Gleisverlegung & Schotterbettung,Gleisgeometrie-Ausrichtung,Durchführung präziser Ausrichtung und Nivellierung des Gleises,Task
High Speed Rail,Gleisverlegung & Schotterbettung,Thermit-Schienenschweißung,Durchführung aluminothermischer Schweißung von Schienenfugen,Task
High Speed Rail,Bahnhofsbau,Bahnhofsfundamentarbeiten,Bau von Tiefpfahlfundamenten für Bahnhofsstrukturen,Task
High Speed Rail,Bahnhofsbau,Bahnsteig- & Vordacherrichtung,Bau von Fahrgastbahnsteigen und Schutzvordächern,Task
High Speed Rail,Bahnhofsbau,Bahnhofs-MEP-Systeme,Installation mechanischer, elektrischer und sanitärer Systeme,Task
High Speed Rail,Bahnhofsbau,Installation von Barrierefreiheitsmerkmalen,Installation von Aufzügen, Rampen und taktilen Pflasterungen,Feature
High Speed Rail,Elektrifizierung & Signalgebung,Oberleitung-Fahrleitungssystem,Installation eines 25kV-Oberleitungs-Kontaktdrahtsystems,Task
High Speed Rail,Elektrifizierung & Signalgebung,Einrichtung von Traktionsunterstationen,Inbetriebnahme elektrischer Unterstationen entlang der Strecke,Task
High Speed Rail,Elektrifizierung & Signalgebung,ETCS Level 2 Signalisierung,Installation des European Train Control System,Feature
High Speed Rail,Elektrifizierung & Signalgebung,Telekommunikations- & SCADA-Integration,Integration von Telekommunikations- und Kontrollsystemen,Task
High Speed Rail,Testen & Inbetriebnahme,Dynamisches Testen von Rollmaterial,Durchführung dynamischer Hochgeschwindigkeitszug-Testfahrten,Task
High Speed Rail,Testen & Inbetriebnahme,Fahrleitung-Interaktionstests,Test der Stromabnehmer-Fahrleitung-Interaktion bei Geschwindigkeit,Task
High Speed Rail,Testen & Inbetriebnahme,Verifizierung von Notfallsystemen,Verifizierung von Notbremsung- und Evakuierungssystemen,Task
High Speed Rail,Testen & Inbetriebnahme,Betriebszertifikat-Antrag,Einreichung der Zertifizierungsdokumentation bei der Eisenbahnbehörde,Documentation
Smart Building,Gebäudesystem-Audit,HVAC-Leistungsbewertung,Audit der Effizienz des bestehenden Heiz- und Kühlsystems,Task
Smart Building,Gebäudesystem-Audit,Elektrische Lastanalyse,Analyse von Stromverbrauchsmustern und Kapazität,Task
