project_short_title,milestone_title
High Speed Rail,Feasibility Study & Route Planning
High Speed Rail,Environmental Impact Assessment
High Speed Rail,Land Acquisition & Permits
High Speed Rail,Geotechnical Investigation
High Speed Rail,Track Design & Engineering
High Speed Rail,Foundation & Earthworks
High Speed Rail,Track Laying & Ballasting
High Speed Rail,Station Construction
High Speed Rail,Electrification & Signaling
High Speed Rail,Testing & Commissioning
Smart Building,Building Systems Audit
Smart Building,IoT Sensor Deployment
Smart Building,HVAC Automation
Smart Building,Lighting Control System
Smart Building,Energy Management Platform
Smart Building,Security & Access Control
Smart Building,Integration & Testing
Smart Building,Tenant Training & Handover
Bridge Infra,Site Survey & Geotechnical Study
Bridge Infra,Foundation Design
Bridge Infra,Pier Construction
Bridge Infra,Cable Manufacturing
Bridge Infra,Tower Erection
Bridge Infra,Deck Installation
Bridge Infra,Load Testing
Bridge Infra,Opening Ceremony
Airport Expand,Master Planning & Design
Airport Expand,Runway Extension
Airport Expand,Terminal Building Structure
Airport Expand,Concourse Construction
Airport Expand,Baggage Handling System
Airport Expand,Immigration & Security
Airport Expand,Retail & F&B Fit-out
Airport Expand,Airport Systems Integration
Airport Expand,Operational Readiness
Metro System,Route Planning & Approval
Metro System,Tunneling Boring Machine Setup
Metro System,Tunnel Excavation
Metro System,Station Construction
Metro System,Track Installation
Metro System,Power & Signaling Systems
Metro System,Rolling Stock Procurement
Metro System,Trial Operations
BIM Platform,BIM Standards Definition
BIM Platform,3D Modeling Tools Integration
BIM Platform,Cloud Infrastructure Setup
BIM Platform,Collaboration Portal
BIM Platform,Clash Detection System
BIM Platform,Cost Estimation Module
BIM Platform,4D Scheduling Integration
BIM Platform,Training & Adoption
Tunnel Project,Geological Survey
Tunnel Project,TBM Procurement & Setup
Tunnel Project,Ventilation System Design
Tunnel Project,Excavation Phase 1
Tunnel Project,Support Structure Installation
Tunnel Project,Drainage & Waterproofing
Tunnel Project,Final Lining
Tunnel Project,Safety Systems & Testing
Modular Housing,Factory Setup & Automation
Modular Housing,Module Design & Prototyping
Modular Housing,Manufacturing Process Optimization
Modular Housing,Quality Control System
Modular Housing,Logistics & Transportation
Modular Housing,Site Assembly
Modular Housing,Finishing & Commissioning
