type_id,short_title,title,started_at,finished_at
29,5G Network,Next-Generation 5G Network Deployment and Optimization,2024-01-01,2026-12-31
29,Streaming Platform,Global Streaming Platform with AI-Powered Recommendations,2024-02-01,2026-11-30
29,Content CDN,Global Content Delivery Network Optimization Platform,2024-01-15,2026-10-31
29,Digital Ads,Programmatic Advertising and AdTech Platform,2024-03-01,2026-09-30
29,News CMS,AI-Powered News Content Management and Publishing System,2024-04-01,2026-12-31
29,Podcast Network,Podcast Production and Distribution Network Platform,2024-02-15,2026-08-31
29,Fiber Rollout,Fiber-to-Home Infrastructure Rollout and Management,2024-03-10,2026-06-30
29,Gaming Cloud,Cloud Gaming Platform and Streaming Infrastructure,2024-01-20,2026-11-30
46,Innovation R&D,Research and Development of Innovative Solutions,2024-01-15,2026-12-31
46,Process Optimization,Process Optimization and Efficiency Improvement,2024-02-01,2026-11-30
46,Technology Platform,Development of Advanced Technology Platform,2024-03-01,2026-10-31
46,Digital Transformation,Digital Transformation and Modernization Initiative,2024-01-20,2026-09-30
171,Advanced Analytics,Advanced Analytics and Machine Learning Platform,2024-01-10,2026-12-31
171,Cloud Solutions,Cloud-Based Solutions and Infrastructure Development,2024-02-15,2026-11-30
171,AI Integration,Artificial Intelligence Integration and Deployment,2024-03-05,2026-10-31
171,Data Platform,Enterprise Data Platform and Analytics System,2024-01-25,2026-09-30
119,Innovation Project,Innovative Research and Development Initiative,2024-01-15,2026-12-31
119,Technology Development,Advanced Technology Development Program,2024-02-01,2026-11-30
119,Process Innovation,Process Innovation and Optimization Project,2024-03-01,2026-10-31
119,Digital Solutions,Digital Solutions Development and Implementation,2024-01-20,2026-09-30
120,R&D Innovation,Research and Development Innovation Project,2024-01-10,2026-12-31
120,Technical Advancement,Technical Advancement and Capability Development,2024-02-15,2026-11-30
120,Product Development,New Product Development and Enhancement,2024-03-05,2026-10-31
120,Engineering Excellence,Engineering Excellence and Innovation Initiative,2024-01-25,2026-09-30
