type_id,short_title,title,started_at,finished_at
29,Smart Factory,Smart Factory Automation and Digital Twin Implementation,2024-01-01,2026-12-31
29,EV Platform,Electric Vehicle Platform Development and Integration,2024-02-01,2026-06-30
29,Quality AI,AI-Powered Quality Control and Defect Detection System,2024-03-01,2026-09-30
29,Supply Chain,Predictive Supply Chain Optimization Platform,2024-01-15,2026-11-30
29,Robotics Line,Collaborative Robotics Integration for Assembly Lines,2024-04-01,2026-10-31
29,IoT Sensors,Industrial IoT Sensor Network for Predictive Maintenance,2024-02-15,2026-12-31
29,3D Printing,Advanced 3D Printing and Additive Manufacturing System,2024-03-10,2026-03-31
29,Product PLM,Next-Generation Product Lifecycle Management Platform,2024-01-20,2026-08-31
46,AI Vision,Development of AI-Based Vision System for Quality Inspection,2024-01-15,2026-12-31
46,Smart Materials,Research and Development of Smart Materials for Manufacturing,2024-02-01,2026-11-30
46,Energy Efficiency,Energy-Efficient Production Process Optimization,2024-03-01,2026-10-31
46,Automation System,Development of Advanced Automation Control Systems,2024-01-20,2026-09-30
171,Advanced Robotics,Next-Generation Robotics for Flexible Manufacturing,2024-01-10,2026-12-31
171,Cloud Platform,Cloud-Based Manufacturing Execution System Development,2024-02-15,2026-11-30
171,Predictive Analytics,Predictive Analytics for Production Optimization,2024-03-05,2026-10-31
171,Digital Factory,Digital Factory Infrastructure and Integration Platform,2024-01-25,2026-09-30
119,Innovation Project,Innovative Research and Development Initiative,2024-01-15,2026-12-31
119,Technology Development,Advanced Technology Development Program,2024-02-01,2026-11-30
119,Process Innovation,Process Innovation and Optimization Project,2024-03-01,2026-10-31
119,Digital Solutions,Digital Solutions Development and Implementation,2024-01-20,2026-09-30
120,R&D Innovation,Research and Development Innovation Project,2024-01-10,2026-12-31
120,Technical Advancement,Technical Advancement and Capability Development,2024-02-15,2026-11-30
120,Product Development,New Product Development and Enhancement,2024-03-05,2026-10-31
120,Engineering Excellence,Engineering Excellence and Innovation Initiative,2024-01-25,2026-09-30
