type_id,short_title,title,started_at,finished_at
29,Core Banking,Modernisierung der Core-Banking-Plattform der nächsten Generation,2024-01-01,2026-12-31
29,Fraud Detection,Echtzeit-Betrugserkennungs- und Präventionssystem,2024-02-01,2026-10-31
29,Digital Wallet,Mobile-First Digital Wallet und Zahlungsplattform,2024-01-15,2026-11-30
29,Robo Advisory,KI-gestützte Vermögensverwaltungs- und Robo-Advisory-Plattform,2024-03-01,2026-09-30
29,Blockchain Pay,Blockchain-basiertes grenzüberschreitendes Zahlungssystem,2024-04-01,2026-06-30
29,Risk Analytics,Erweiterte Risikoanalyse- und Regulierungsberichtsplattform,2024-02-15,2026-12-31
29,Trade Finance,Digitale Handelsfinanzierungs- und Supply-Chain-Finanzierungsplattform,2024-03-10,2026-03-31
29,Open Banking,Open-Banking-API-Gateway und Ökosystemplattform,2024-01-20,2026-08-31
46,Innovation R&D,Forschung und Entwicklung innovativer Lösungen,2024-01-15,2026-12-31
46,Process Optimization,Prozessoptimierung und Effizienzsteigerung,2024-02-01,2026-11-30
46,Technology Platform,Entwicklung einer fortschrittlichen Technologieplattform,2024-03-01,2026-10-31
46,Digital Transformation,Digitale Transformation und Modernisierungsinitiative,2024-01-20,2026-09-30
171,Advanced Analytics,Erweiterte Analysen und Machine-Learning-Plattform,2024-01-10,2026-12-31
171,Cloud Solutions,Cloud-basierte Lösungen und Infrastrukturentwicklung,2024-02-15,2026-11-30
171,AI Integration,Integration und Bereitstellung künstlicher Intelligenz,2024-03-05,2026-10-31
171,Data Platform,Unternehmens-Datenplattform und Analysesystem,2024-01-25,2026-09-30
119,Innovation Project,Innovative Research and Development Initiative,2024-01-15,2026-12-31
119,Technology Development,Advanced Technology Development Program,2024-02-01,2026-11-30
119,Process Innovation,Process Innovation and Optimization Project,2024-03-01,2026-10-31
119,Digital Solutions,Digital Solutions Development and Implementation,2024-01-20,2026-09-30
120,R&D Innovation,Research and Development Innovation Project,2024-01-10,2026-12-31
120,Technical Advancement,Technical Advancement and Capability Development,2024-02-15,2026-11-30
120,Product Development,New Product Development and Enhancement,2024-03-05,2026-10-31
120,Engineering Excellence,Engineering Excellence and Innovation Initiative,2024-01-25,2026-09-30
