title,purpose_id,type_id,detail_title
Cloud Infrastructure Services,3,2,AWS Server Hosting
Cloud Infrastructure Services,3,2,Database Management
Cloud Infrastructure Services,3,2,CDN Services
Software Licenses & Tools,3,2,Development Tools
Software Licenses & Tools,3,2,Project Management Software
Software Licenses & Tools,3,2,Analytics Platform
Consulting & Advisory,3,2,Technical Consulting
Consulting & Advisory,3,2,Business Analysis
Training & Development,3,2,Employee Training Programs
Training & Development,3,2,Certification Courses
Office & Equipment,3,2,Hardware & Equipment
Office & Equipment,3,2,Office Supplies
Marketing & Communication,3,2,Marketing Campaigns
Marketing & Communication,3,2,Communication Tools
Security & Compliance,3,2,Security Audits
Security & Compliance,3,2,Compliance Certifications
