type_id,short_title,title,started_at,finished_at
29,Digital Transform,Unternehmens-Digitaltransformationsstrategie und -Implementierung,2024-01-01,2026-12-31
29,Change Mgmt,Organisatorisches Change Management für globale Fusion,2024-02-01,2026-10-31
29,HR Analytics,Workforce-Analytics und Talentoptimierungsplattform,2024-01-15,2026-11-30
29,Customer XP,Customer-Experience-Transformationsprogramm,2024-03-01,2026-09-30
29,Agile Scale,Agile-at-Scale-Implementierung und CoE-Einrichtung,2024-04-01,2026-12-31
29,Cloud Strategy,Multi-Cloud-Strategie und Migrationsberatung,2024-02-15,2026-03-31
29,Cyber Risk,Cybersicherheits-Risikobewertungs- und Sanierungsprogramm,2024-03-10,2026-08-31
29,Data Governance,Enterprise-Data-Governance- und MDM-Implementierung,2024-01-20,2026-10-31
46,Innovation R&D,Forschung und Entwicklung innovativer Lösungen,2024-01-15,2026-12-31
46,Process Optimization,Prozessoptimierung und Effizienzsteigerung,2024-02-01,2026-11-30
46,Technology Platform,Entwicklung einer fortschrittlichen Technologieplattform,2024-03-01,2026-10-31
46,Digital Transformation,Digitale Transformation und Modernisierungsinitiative,2024-01-20,2026-09-30
171,Advanced Analytics,Erweiterte Analysen und Machine-Learning-Plattform,2024-01-10,2026-12-31
171,Cloud Solutions,Cloud-basierte Lösungen und Infrastrukturentwicklung,2024-02-15,2026-11-30
171,AI Integration,Integration und Bereitstellung künstlicher Intelligenz,2024-03-05,2026-10-31
171,Data Platform,Unternehmens-Datenplattform und Analysesystem,2024-01-25,2026-09-30
119,Innovation Project,Innovative Research and Development Initiative,2024-01-15,2026-12-31
119,Technology Development,Advanced Technology Development Program,2024-02-01,2026-11-30
119,Process Innovation,Process Innovation and Optimization Project,2024-03-01,2026-10-31
119,Digital Solutions,Digital Solutions Development and Implementation,2024-01-20,2026-09-30
120,R&D Innovation,Research and Development Innovation Project,2024-01-10,2026-12-31
120,Technical Advancement,Technical Advancement and Capability Development,2024-02-15,2026-11-30
120,Product Development,New Product Development and Enhancement,2024-03-05,2026-10-31
120,Engineering Excellence,Engineering Excellence and Innovation Initiative,2024-01-25,2026-09-30
