project_short_title,milestone_title
High Speed Rail,Machbarkeitsstudie & Streckenplanung
High Speed Rail,Umweltverträglichkeitsprüfung
High Speed Rail,Grundstückserwerb & Genehmigungen
High Speed Rail,Geotechnische Untersuchung
High Speed Rail,Streckendesign & Engineering
High Speed Rail,Fundament & Erdarbeiten
High Speed Rail,Gleisverlegung & Schotterbettung
High Speed Rail,Bahnhofsbau
High Speed Rail,Elektrifizierung & Signalgebung
High Speed Rail,Testen & Inbetriebnahme
Smart Building,Gebäudesystem-Audit
Smart Building,IoT-Sensor-Deployment
Smart Building,HVAC-Automatisierung
Smart Building,Lichtsteuerungssystem
Smart Building,Energiemanagement-Plattform
Smart Building,Sicherheit & Zugangskontrolle
Smart Building,Integration & Testing
Smart Building,Mieter-Schulung & Übergabe
Bridge Infra,Standortvermessung & geotechnische Studie
Bridge Infra,Fundamentdesign
Bridge Infra,Pfeilerbau
Bridge Infra,Kabelfertigung
Bridge Infra,Turmerrichtung
Bridge Infra,Deckeninstallation
Bridge Infra,Belastungstest
Bridge Infra,Eröffnungszeremonie
Airport Expand,Masterplanung & Design
Airport Expand,Startbahnverlängerung
Airport Expand,Terminalgebäudestruktur
Airport Expand,Concourse-Bau
Airport Expand,Gepäckabfertigungssystem
Airport Expand,Einwanderung & Sicherheit
Airport Expand,Einzelhandels- & F&B-Ausbau
Airport Expand,Flughafensystemintegration
Airport Expand,Betriebsbereitschaft
Metro System,Streckenplanung & Genehmigung
Metro System,Tunnelbohrmaschinen-Setup
Metro System,Tunnelausgrabung
Metro System,Bahnhofsbau
Metro System,Gleisinstallation
Metro System,Strom- & Signalsysteme
Metro System,Rollmaterial-Beschaffung
Metro System,Probebetrieb
BIM Platform,BIM-Standards-Definition
BIM Platform,3D-Modellierungstools-Integration
BIM Platform,Cloud-Infrastruktur-Setup
BIM Platform,Kollaborationsportal
BIM Platform,Clash-Detection-System
BIM Platform,Kostenschätzungsmodul
BIM Platform,4D-Zeitplanintegration
BIM Platform,Schulung & Adoption
Tunnel Project,Geologische Untersuchung
Tunnel Project,TBM-Beschaffung & Setup
Tunnel Project,Belüftungssystem-Design
Tunnel Project,Ausgrabungsphase 1
Tunnel Project,Stützstruktur-Installation
Tunnel Project,Entwässerung & Abdichtung
Tunnel Project,Endverkleidung
Tunnel Project,Sicherheitssysteme & Testen
Modular Housing,Fabrikeinrichtung & Automatisierung
Modular Housing,Moduldesign & Prototyping
Modular Housing,Optimierung des Fertigungsprozesses
Modular Housing,Qualitätskontrollsystem
Modular Housing,Logistik & Transport
Modular Housing,Standortmontage
Modular Housing,Fertigstellung & Inbetriebnahme
