department_name,name
Operations,Business Analyst
Operations,Operations Manager
Product,Project Manager
Product,Product Manager
Operations,Strategy Consultant
Engineering,Software Engineer
Engineering,DevOps Engineer
Engineering,Data Engineer
Engineering,System Architect
Engineering,QA Engineer
Operations,Sales Representative
Operations,Marketing Manager
Operations,Account Executive
Operations,Marketing Specialist
Operations,Brand Manager
Operations,Financial Analyst
Operations,Accountant
Operations,Controller
Operations,Tax Specialist
Operations,Auditor
Operations,HR Manager
Operations,Recruiter
Operations,HR Business Partner
Operations,Training Specialist
Operations,Compensation Analyst
Operations,Customer Support Specialist
Operations,Customer Success Manager
Operations,Technical Support Engineer
Operations,Service Desk Analyst
Operations,Customer Experience Manager
